cliente;anno_mese;percentuale
C001765;202402;0,14
C000307;202307;0,02
C000489;202406;0,07
C001680;202409;0,06
C001051;202410;0,15
C000317;202302;0,14
C000475;202304;0,18
C000645;202307;0,04
C001325;202408;0,1
C000312;202403;0,03
C001547;202308;0,06
C001793;202307;0,11
C001141;202406;0,02
C000134;202410;0,06
C001206;202404;0,14
C001459;202304;0,12
C000024;202411;0,06
C000043;202410;0,13
C001831;202406;0,17
C000104;202301;0,02
C001866;202302;0,17
C001704;202405;0,15
C001950;202405;0,08
C000586;202311;0,05
C001719;202304;0,04
C001673;202306;0,07
C001949;202305;0,13
C001727;202407;0,09
C000923;202402;0,09
C001896;202303;0,06
C001848;202312;0,07
C001922;202404;0,19
C001195;202303;0,14
C000763;202310;0,13
C000036;202305;0,05
C001510;202303;0,15
C000693;202304;0,05
C000367;202408;0,09
C001961;202401;0,2
C000343;202311;0,14
C000484;202304;0,12
C001626;202307;0,14
C001483;202305;0,17
C000689;202409;0,16
C001336;202312;0,06
C001091;202312;0,03
C001380;202412;0,08
C001474;202412;0,07
C000701;202305;0,06
C001254;202410;0,19
C001248;202308;0,18
C000372;202405;0,08
C000703;202307;0,14
C000098;202404;0,09
C000412;202407;0,18
C001647;202408;0,1
C001190;202305;0,07
C001833;202311;0,06
C001644;202311;0,12
C000682;202408;0,07
C001131;202308;0,13
C001003;202408;0,18
C001196;202408;0,09
C001535;202312;0,06
C000021;202303;0,2
C001386;202408;0,11
C001187;202301;0,04
C000658;202310;0,03
C001826;202302;0,04
C000129;202305;0,13
C001609;202312;0,16
C000278;202306;0,1
C001510;202311;0,03
C000235;202307;0,09
C001802;202301;0,2
C000555;202403;0,12
C000900;202309;0,19
C001069;202307;0,17
C000022;202407;0,02
C000332;202410;0,15
C000852;202406;0,14
C000101;202411;0,12
C000275;202412;0,07
C001920;202407;0,14
C000169;202411;0,04
C001962;202307;0,1
C000181;202307;0,1
C000770;202307;0,19
C001167;202302;0,18
C001952;202307;0,07
C001971;202311;0,11
C000271;202302;0,05
C000616;202312;0,18
C000089;202412;0,18
C001150;202304;0,07
C001124;202310;0,14
C000136;202404;0,13
C001876;202309;0,05
C000029;202409;0,16
C001266;202305;0,12
C001023;202310;0,16
C001935;202407;0,12
C001444;202401;0,02
C001774;202308;0,08
C001912;202301;0,02
C001753;202306;0,19
C000160;202409;0,18
C001966;202405;0,17
C000836;202409;0,08
C000322;202302;0,03
C000530;202303;0,18
C001028;202412;0,19
C001352;202309;0,04
C001551;202312;0,11
C001453;202408;0,03
C000685;202302;0,16
C001250;202302;0,16
C000615;202411;0,04
C001102;202308;0,11
C001641;202312;0,12
C000319;202412;0,07
C001649;202309;0,18
C000411;202312;0,1
C001579;202405;0,06
C000445;202303;0,12
C001541;202304;0,15
C000647;202412;0,06
C000009;202309;0,08
C001653;202306;0,2
C001232;202405;0,14
C001394;202308;0,1
C001845;202407;0,11
C001514;202401;0,04
C000389;202305;0,06
C000940;202401;0,08
C001768;202402;0,13
C000047;202309;0,06
C001957;202312;0,06
C000025;202307;0,03
C001456;202412;0,13
C001617;202311;0,06
C000873;202411;0,18
C000245;202404;0,17
C001477;202308;0,03
C001099;202311;0,06
C000419;202301;0,14
C001585;202401;0,06
C000596;202312;0,04
C001735;202312;0,19
C001051;202307;0,12
C000543;202405;0,11
C000324;202310;0,16
C000349;202303;0,17
C001778;202303;0,05
C000033;202407;0,04
C001867;202408;0,1
C000475;202303;0,1
C000652;202406;0,1
C000298;202310;0,15
C000121;202401;0,14
C000134;202307;0,2
C000280;202311;0,04
C000090;202310;0,09
C001599;202309;0,08
C000593;202301;0,18
C000672;202304;0,06
C000987;202306;0,05
C000391;202402;0,1
C000200;202408;0,1
C000099;202302;0,07
C001459;202303;0,06
C001996;202412;0,19
C000977;202303;0,1
C000516;202310;0,18
C000904;202301;0,12
C000894;202305;0,03
C001282;202406;0,2
C001184;202408;0,17
C000699;202402;0,19
C001773;202406;0,19
C001233;202302;0,17
C001757;202306;0,05
C000565;202412;0,11
C000645;202405;0,06
C000925;202408;0,09
C000213;202303;0,03
C000522;202406;0,09
C000035;202402;0,2
C001323;202407;0,07
C001371;202308;0,16
C000862;202411;0,1
C000068;202306;0,1
C001409;202305;0,19
C001675;202301;0,2
C000030;202305;0,12
C000549;202307;0,15
C000190;202311;0,05
C000044;202401;0,07
C000169;202404;0,19
C000393;202302;0,12
C000363;202412;0,12
C000819;202301;0,15
C001719;202303;0,03
C000746;202407;0,13
C001387;202412;0,11
C000187;202412;0,17
C000824;202402;0,05
C001397;202408;0,19
C001917;202307;0,03
C001505;202305;0,05
C001108;202410;0,13
C001694;202305;0,14
C000981;202309;0,06
C000590;202411;0,04
C001214;202301;0,18
C001996;202312;0,06
C001686;202307;0,13
C000176;202406;0,13
C000693;202303;0,1
C001018;202310;0,13
C001241;202411;0,11
C000974;202412;0,19
C001176;202312;0,06
C001360;202402;0,15
C001633;202302;0,06
C000260;202301;0,09
C001685;202301;0,14
C000458;202412;0,07
C001473;202407;0,08
C000736;202408;0,16
C000224;202301;0,03
C001324;202409;0,1
C000435;202401;0,2
C001098;202406;0,2
C000615;202404;0,03
C001254;202307;0,06
C000849;202309;0,07
