cliente;prodotto;anno_mese;grossvalue
C001311;M000455;202403;486,07
C000526;M000322;202403;8792,34
C001883;M000246;202303;2251,81
C000958;M000209;202405;6046,31
C001764;M000100;202302;5599,01
C001802;M000089;202307;8010,12
C001984;M000140;202406;9189,75
C001074;M000032;202307;5244,35
C000966;M000327;202307;4276,71
C000290;M000389;202310;993,18
C000063;M000428;202301;1416,72
C000860;M000468;202408;1526,43
C000953;M000016;202411;731,63
C001208;M000044;202308;6043,3
C001200;M000313;202308;6091,7
C000891;M000399;202308;5840,57
C001200;M000489;202402;3277,77
C000456;M000199;202407;6324,59
C001295;M000346;202307;1802,18
C001178;M000315;202304;8803,15
C000073;M000081;202312;2195,42
C000233;M000277;202312;9014,85
C000116;M000343;202404;613,54
C001691;M000071;202311;3282,89
C001209;M000335;202408;8930,2
C000179;M000487;202308;4028,2
C000740;M000287;202306;1764,18
C001416;M000366;202410;5023,7
C000849;M000425;202405;2499,84
C001036;M000147;202412;1278,19
C000501;M000110;202406;4456,78
C001641;M000198;202301;3740,78
C001442;M000282;202410;8504,02
C000407;M000452;202412;6319,72
C000935;M000324;202404;6579,01
C000699;M000230;202405;7538,38
C000229;M000237;202303;5321,65
C001956;M000361;202406;720,0
C001663;M000157;202311;2897,01
C000792;M000313;202403;5786,1
C000789;M000443;202409;1984,48
C000948;M000193;202302;5125,44
C000811;M000248;202310;8108,29
C000311;M000125;202308;2379,15
C000838;M000456;202304;8441,68
C000746;M000444;202310;5465,47
C000195;M000090;202407;3122,9
C000502;M000129;202302;8510,98
C001586;M000103;202404;5763,08
C000190;M000180;202310;2326,29
C000969;M000379;202410;7987,34
C000352;M000342;202311;8868,12
C000869;M000100;202402;4504,48
C001844;M000487;202302;8859,69
C001195;M000100;202308;1406,73
C000935;M000430;202405;4611,12
C001337;M000022;202402;6335,99
C000677;M000309;202404;3202,45
C001750;M000127;202307;731,64
C000915;M000072;202304;7304,52
C001597;M000235;202402;6875,93
C000426;M000030;202411;5904,59
C001980;M000231;202403;4195,8
C001188;M000151;202412;6911,9
C000333;M000300;202301;4556,01
C001624;M000238;202410;9587,97
C000181;M000055;202405;5016,75
C001167;M000159;202405;8379,08
C001426;M000087;202406;6804,14
C001885;M000097;202404;5091,82
C001930;M000393;202405;8405,75
C001273;M000277;202302;4007,45
C001342;M000466;202408;9684,71
C000469;M000272;202408;1628,24
C000040;M000243;202407;8796,02
C000471;M000189;202402;8158,58
C001134;M000311;202409;3900,85
C000926;M000464;202311;6872,06
C001968;M000053;202411;2345,82
C000058;M000489;202311;6185,64
C000982;M000209;202309;7150,5
C000142;M000446;202312;6888,49
C000758;M000369;202312;1242,9
C001422;M000113;202307;1698,24
C000856;M000294;202404;4860,02
C001512;M000499;202405;5281,32
C000394;M000282;202401;9962,63
C001576;M000439;202308;347,61
C000057;M000252;202312;1965,72
C000038;M000351;202402;2593,23
C000378;M000215;202402;2636,98
C000883;M000221;202302;4434,77
C001628;M000078;202303;3195,17
C000442;M000163;202309;5165,19
C001102;M000168;202303;3215,25
C000934;M000129;202407;7751,02
C000883;M000015;202311;9195,95
C000206;M000481;202308;6402,21
C000775;M000107;202401;1575,0
C000199;M000103;202408;9257,18
C001570;M000046;202410;6283,35
C000360;M000160;202302;4975,17
C001545;M000255;202412;1887,65
C000985;M000404;202405;7273,72
C000515;M000031;202310;2594,87
C001821;M000154;202404;3602,06
C000962;M000436;202410;9609,76
C000415;M000482;202403;3865,01
C000914;M000161;202408;6076,61
C001343;M000334;202402;607,2
C000450;M000499;202306;9784,22
C001575;M000004;202307;2782,34
C000952;M000500;202312;6126,85
C001649;M000228;202402;7133,64
C000772;M000340;202306;8577,93
C000548;M000468;202401;2616,93
C001216;M000437;202312;5617,82
C000994;M000136;202306;4138,23
C001224;M000162;202305;4713,7
C000587;M000204;202404;7481,56
C001706;M000198;202408;4735,38
C001226;M000175;202310;9834,39
C000134;M000060;202410;8336,24
C000316;M000368;202403;2872,49
C001434;M000242;202402;5250,06
C000471;M000385;202403;4353,49
C000360;M000455;202312;5204,16
C001716;M000321;202307;7035,13
C001109;M000387;202301;8942,45
C001317;M000500;202305;1184,63
C001152;M000152;202308;5514,51
C001495;M000191;202304;4420,24
C000627;M000446;202311;3904,12
C000697;M000022;202308;428,71
C001899;M000414;202408;1212,72
C001995;M000207;202307;7991,89
C001409;M000256;202407;1453,89
C001537;M000101;202311;917,25
C001718;M000150;202302;4941,11
C000716;M000478;202408;6847,77
C001835;M000075;202309;4675,05
C000710;M000357;202304;4086,92
C001908;M000260;202307;2764,02
C001790;M000061;202310;4138,45
C001190;M000041;202306;9789,55
C000415;M000296;202301;9093,3
C001778;M000490;202303;3675,11
C001479;M000040;202306;5061,3
C000049;M000411;202304;5949,84
C001128;M000054;202412;5843,97
C000134;M000487;202306;5832,66
C001283;M000265;202309;5148,26
C000449;M000463;202412;6256,2
C001293;M000485;202306;856,23
C001252;M000180;202307;1245,18
C001877;M000472;202409;7712,47
C001872;M000125;202409;9507,99
C001554;M000415;202401;7107,7
C000183;M000314;202302;9426,45
C001616;M000449;202407;1678,5
C001621;M000475;202411;442,94
C000879;M000370;202409;7287,9
C000050;M000237;202406;7537,76
C000749;M000260;202404;2188,6
C000266;M000271;202303;1840,83
C001925;M000244;202304;3394,04
C001930;M000290;202301;7577,42
C001007;M000365;202304;2285,11
C000436;M000126;202311;7012,01
C000774;M000179;202406;6036,09
C000948;M000160;202402;2578,35
C000461;M000398;202406;3731,44
C000689;M000500;202402;3318,38
C001779;M000197;202403;783,71
C001183;M000252;202411;6148,71
C000797;M000274;202311;7169,75
C000795;M000041;202407;9943,91
C000127;M000059;202302;3489,82
C000235;M000304;202301;8823,35
C001846;M000390;202404;5387,73
C000790;M000138;202403;4531,97
C000677;M000477;202409;9707,69
C001187;M000235;202308;4156,24
C001334;M000059;202407;4348,4
C000226;M000058;202409;2867,44
C000655;M000481;202407;4525,02
C000803;M000140;202301;6459,78
C001103;M000173;202307;7732,22
C000918;M000004;202402;7961,15
C001336;M000479;202307;614,2
C001267;M000387;202305;9394,34
C001865;M000139;202304;2863,93
C000445;M000201;202309;5040,23
C001869;M000408;202409;9998,24
C001263;M000166;202402;9069,6
C000023;M000223;202301;5177,67
C000937;M000001;202308;1480,55
C000181;M000084;202311;4595,64
C000347;M000341;202408;8144,77
C001742;M000409;202403;8863,97
C000999;M000188;202303;2885,17
C000883;M000397;202304;8802,24
C000400;M000463;202407;9337,26
C001624;M000393;202405;1157,73
C000289;M000091;202312;5648,64
C001277;M000446;202412;3770,55
C000696;M000063;202410;7744,5
C001118;M000133;202404;1788,25
C001090;M000018;202409;7040,62
C001789;M000037;202404;1131,67
C000302;M000428;202301;6993,67
C001714;M000469;202409;4398,23
C000817;M000053;202408;2412,43
C000443;M000280;202306;1947,05
C000420;M000032;202404;5739,69
C000732;M000468;202403;3821,54
C001030;M000444;202302;3482,17
C001910;M000209;202412;1513,09
C000435;M000464;202309;9553,33
C000506;M000244;202410;3940,1
C001442;M000467;202312;2081,12
C001177;M000200;202308;5082,26
C000948;M000387;202309;4311,6
C000628;M000270;202404;8888,62
C000641;M000428;202401;8572,75
C001437;M000299;202407;5601,71
C000272;M000046;202412;1453,09
C001512;M000133;202408;1197,6
C000740;M000173;202412;2582,17
C000118;M000220;202302;7392,0
C000396;M000410;202412;5634,92
C000768;M000218;202303;4771,23
C001190;M000077;202401;7627,28
C001556;M000460;202307;7639,03
C000956;M000037;202408;4319,69
C000907;M000456;202310;2951,39
C000821;M000177;202402;8836,19
C000081;M000082;202306;2315,84
C001645;M000366;202401;8947,23
C001809;M000305;202404;8244,5
C000438;M000193;202405;8753,12
C001154;M000227;202407;3399,38
C001941;M000418;202402;2153,55
C001685;M000159;202303;2287,6
C000190;M000023;202306;3176,2
C000654;M000131;202410;6108,07
C001104;M000485;202305;1929,38
C001611;M000240;202312;9226,01
C000312;M000257;202412;6551,48
C001701;M000105;202409;6492,23
C000379;M000111;202311;2838,69
C000505;M000226;202404;6055,51
C001116;M000214;202402;8728,57
C001038;M000397;202405;1357,08
C000001;M000262;202401;5275,07
C000808;M000003;202305;8907,98
C000375;M000115;202401;9456,94
C000128;M000051;202407;3652,9
C001453;M000200;202403;2058,56
C001138;M000386;202312;3606,98
C001870;M000409;202412;5926,14
C001311;M000140;202407;5370,32
C001968;M000254;202404;1281,28
C001309;M000477;202405;6443,64
C000640;M000022;202306;1466,96
C001882;M000201;202303;7204,3
C001596;M000384;202401;6832,54
C001847;M000234;202402;2794,41
C001168;M000156;202308;1520,66
C001960;M000220;202302;9145,28
C000144;M000235;202302;8830,51
C001318;M000257;202402;5985,96
C000831;M000374;202409;8576,92
C001539;M000284;202311;660,96
C000732;M000266;202405;3507,19
C001911;M000154;202304;2544,24
C001443;M000215;202411;3443,85
C001978;M000498;202307;4763,65
C001347;M000232;202302;8387,87
C000776;M000480;202312;3460,55
C001187;M000105;202308;6821,61
C000554;M000128;202303;2604,45
C001809;M000383;202307;2249,43
C000559;M000142;202309;1984,34
C001850;M000107;202405;7344,95
C001381;M000319;202404;8299,78
C000710;M000050;202306;9007,24
C000265;M000277;202303;5450,86
C001646;M000479;202303;7811,72
C001633;M000338;202406;760,25
C000344;M000199;202403;494,51
C001055;M000066;202409;6620,53
C001291;M000040;202411;3127,32
C000013;M000163;202409;6711,83
C000122;M000405;202303;5488,53
C000508;M000168;202407;1718,58
C000471;M000444;202308;7532,9
C001979;M000453;202311;7658,8
C001885;M000161;202411;2342,8
C001968;M000120;202312;5639,27
C001465;M000060;202304;8305,35
C000878;M000171;202302;2827,74
C000337;M000091;202410;8101,78
C001666;M000355;202304;5349,93
C000415;M000257;202312;4378,75
C000042;M000208;202303;2753,41
C000279;M000289;202312;9367,63
C000059;M000411;202307;2322,33
C001122;M000157;202312;9406,48
C000144;M000403;202407;3457,97
C001503;M000134;202401;4385,07
C000896;M000177;202311;7147,46
C001765;M000042;202307;9265,48
C000330;M000068;202409;7805,33
C001201;M000199;202409;2107,29
C000943;M000053;202402;4821,75
C001697;M000116;202306;7915,89
C001596;M000086;202407;893,11
C000098;M000276;202301;4720,27
C001049;M000198;202404;9157,69
C000170;M000211;202303;8290,37
C000141;M000012;202407;931,59
C001856;M000234;202411;3715,98
C001885;M000078;202403;8641,46
C000647;M000458;202412;1219,13
C001561;M000020;202305;4418,23
C000221;M000191;202309;7845,17
C000379;M000430;202304;5499,59
C000480;M000481;202302;460,42
C000344;M000001;202308;6635,69
C000277;M000204;202310;2461,36
C001475;M000278;202401;8704,41
C001782;M000467;202312;3841,74
C001028;M000085;202411;2427,57
C000296;M000178;202408;1192,24
C001892;M000270;202301;718,63
C000371;M000074;202407;8068,09
C001205;M000426;202301;8171,29
C001589;M000245;202309;7104,35
C001492;M000061;202305;6653,5
C001349;M000322;202409;3143,01
C000500;M000370;202307;7802,32
C001926;M000459;202311;4095,78
C001474;M000453;202308;4187,24
C000473;M000067;202406;5175,09
C001548;M000331;202410;9830,56
C001510;M000377;202301;5752,45
C000715;M000184;202307;2689,67
C001941;M000468;202310;9896,74
C000866;M000258;202411;3923,49
C001723;M000419;202312;4101,76
C001199;M000131;202408;7723,72
C000543;M000399;202311;689,32
C001710;M000278;202308;5613,17
C000493;M000380;202411;6895,75
C000496;M000068;202408;5656,58
C001960;M000104;202304;352,22
C001618;M000497;202410;7162,73
C001736;M000378;202410;2305,58
C001718;M000438;202312;2338,95
C000220;M000013;202403;2021,03
C000635;M000387;202311;8184,19
C001728;M000478;202411;4545,16
C000223;M000301;202305;409,76
C001549;M000450;202403;3104,88
C001117;M000442;202406;7362,97
C001076;M000006;202404;2418,11
