cliente;prodotto;giorno;quantity
C001592;M000388;28/08/2023;3577,17
C001750;M000067;14/01/2024;3382,4
C001352;M000240;24/11/2023;9963,16
C000940;M000025;16/02/2023;6595,96
C001529;M000072;22/05/2024;3032,69
C000715;M000451;12/06/2023;6633,63
C001475;M000292;13/03/2023;9950,16
C000649;M000190;20/10/2024;6164,71
C000046;M000488;31/05/2023;7945,44
C000234;M000101;11/09/2024;9284,0
C000506;M000390;05/12/2023;7362,25
C000022;M000127;29/09/2023;1905,8
C001048;M000272;17/11/2024;5992,34
C000684;M000019;27/03/2024;5634,83
C000223;M000490;17/04/2024;1976,16
C000238;M000154;08/03/2024;1162,44
C001055;M000316;18/12/2024;8634,77
C001405;M000282;24/04/2024;6531,36
C001988;M000455;31/01/2024;3337,17
C000312;M000257;14/12/2023;2294,79
C000233;M000108;13/04/2024;2259,75
C000850;M000490;16/12/2023;4681,15
C001383;M000217;14/01/2023;2644,88
C000940;M000190;30/01/2023;8771,68
C000796;M000033;11/08/2023;1537,96
C001019;M000459;22/03/2024;5561,98
C001344;M000170;16/05/2024;7836,9
C000763;M000204;08/10/2023;7076,47
C000418;M000368;03/05/2023;5475,98
C001786;M000322;27/06/2024;2097,19
C001625;M000282;13/09/2024;2406,62
C001081;M000253;22/02/2024;8356,07
C001574;M000305;16/05/2024;6286,29
C001018;M000285;16/02/2023;1431,55
C001771;M000362;05/03/2023;7166,41
C001244;M000141;31/07/2023;5780,18
C000856;M000096;04/10/2024;3886,18
C001140;M000114;04/04/2024;4518,36
C000030;M000088;13/01/2023;3377,36
C000264;M000109;05/10/2024;4436,33
C000508;M000291;15/02/2023;835,2
C001109;M000388;17/07/2024;2498,1
C001965;M000182;24/06/2023;5748,32
C000624;M000154;03/07/2023;9342,45
C001088;M000312;11/09/2024;2026,73
C001420;M000106;03/03/2024;4142,06
C001916;M000264;03/03/2024;222,66
C000921;M000491;12/11/2023;8245,15
C001778;M000349;11/07/2023;3856,48
C001096;M000463;09/04/2023;4065,24
C001838;M000393;12/07/2023;6882,25
C000066;M000116;16/02/2023;2714,01
