cliente;prodotto;giorno;quantity
C001750;M000067;14/01/2024;3382,4
C000940;M000025;16/02/2023;6595,96
C001475;M000292;13/03/2023;9950,16
C000684;M000019;27/03/2024;5634,83
C000238;M000154;08/03/2024;1162,44
C001988;M000455;31/01/2024;3337,17
C001383;M000217;14/01/2023;2644,88
C000940;M000190;30/01/2023;8771,68
C001019;M000459;22/03/2024;5561,98
C001081;M000253;22/02/2024;8356,07
C001018;M000285;16/02/2023;1431,55
C001771;M000362;05/03/2023;7166,41
C000030;M000088;13/01/2023;3377,36
C000508;M000291;15/02/2023;835,2
C001420;M000106;03/03/2024;4142,06
C001916;M000264;03/03/2024;222,66
C000066;M000116;16/02/2023;2714,01
C000933;M000025;17/02/2023;4800,27
C000210;M000314;13/03/2023;8123,27
C001578;M000234;15/01/2023;3307,86
C000262;M000308;18/01/2023;8138,89
C000505;M000406;03/02/2023;6484,94
C000094;M000004;14/01/2023;4985,98
C000436;M000165;11/02/2024;2042,03
C000964;M000427;01/02/2024;7894,97
C001246;M000150;27/02/2024;6129,25
C000271;M000500;22/02/2024;1156,39
C000390;M000158;21/01/2024;4234,56
C001766;M000158;06/03/2023;4315,93
C000781;M000231;30/01/2023;2438,8
C000182;M000322;22/02/2023;6368,91
C000519;M000046;02/02/2024;2938,7
C001144;M000500;18/02/2024;7460,75
C001810;M000046;05/03/2024;9838,75
C000654;M000209;18/01/2023;5370,49
C001483;M000198;17/01/2024;6528,58
C000070;M000170;31/01/2024;1245,46
C000026;M000079;27/03/2023;4447,16
C001451;M000136;05/01/2024;9009,72
C001915;M000317;03/01/2024;3425,08
C001237;M000290;05/01/2023;6439,8
C000242;M000094;20/02/2023;9301,81
C000633;M000432;01/03/2024;807,62
C001441;M000051;24/03/2024;7544,3
C001027;M000214;21/01/2023;6212,57
C000216;M000095;01/02/2024;8402,63
C001276;M000359;10/02/2024;8055,55
C001086;M000328;20/02/2024;541,88
C001388;M000317;09/01/2023;1159,46
C001653;M000037;04/02/2023;7920,68
C001429;M000234;27/03/2023;2370,52
C000952;M000322;03/02/2024;4738,53
C000869;M000472;14/03/2024;3606,77
C000601;M000423;12/02/2024;5032,06
C000582;M000359;05/01/2024;193,71
C000194;M000360;18/01/2023;532,37
C001552;M000014;23/03/2024;1415,53
C001713;M000089;30/03/2024;412,11
C000315;M000488;15/02/2024;2171,59
C000871;M000293;11/01/2023;6254,34
C000587;M000236;05/01/2024;4304,63
C000809;M000500;06/03/2023;7028,94
C000469;M000321;10/03/2024;6965,21
C000256;M000388;12/03/2024;4225,62
C000171;M000168;31/03/2024;6766,41
C001728;M000300;08/01/2024;3076,18
C000036;M000216;15/01/2024;496,05
C000774;M000127;24/01/2024;3906,62
C001882;M000243;17/01/2024;6795,12
C001414;M000179;04/03/2024;909,87
C001395;M000206;13/02/2023;7312,41
C001166;M000378;25/03/2024;6242,2
