cliente;prodotto;giorno;quantity
C001592;M000388;28/08/2023;3577,17
C000234;M000101;11/09/2024;9284,0
C000022;M000127;29/09/2023;1905,8
C000796;M000033;11/08/2023;1537,96
C001625;M000282;13/09/2024;2406,62
C001244;M000141;31/07/2023;5780,18
C001109;M000388;17/07/2024;2498,1
C000624;M000154;03/07/2023;9342,45
C001088;M000312;11/09/2024;2026,73
C001778;M000349;11/07/2023;3856,48
C001838;M000393;12/07/2023;6882,25
C001845;M000200;04/08/2023;8953,77
C001105;M000128;07/08/2023;4426,9
C001271;M000358;11/09/2024;6601,82
C000585;M000032;19/08/2024;1514,04
C001822;M000304;21/08/2023;4983,73
C001467;M000434;27/09/2023;5118,69
C000342;M000182;29/07/2024;3825,36
C000313;M000371;19/07/2023;5833,56
C001507;M000249;29/07/2024;9417,71
C001276;M000066;01/08/2024;6225,2
C000336;M000020;08/07/2023;1016,2
C000988;M000142;20/07/2024;827,98
C000770;M000423;13/08/2023;4034,96
C001972;M000245;06/07/2023;2891,29
C001362;M000446;13/07/2024;4827,46
C000349;M000104;26/09/2023;3425,29
C001995;M000117;04/07/2023;9934,63
C001664;M000068;15/07/2024;5576,39
C000658;M000238;09/08/2024;1792,88
C000455;M000172;10/09/2023;6593,66
C001608;M000277;18/08/2023;7934,48
C000076;M000439;14/09/2023;2989,57
C001960;M000242;04/08/2023;8769,47
C000237;M000407;07/07/2023;8393,74
C000092;M000376;10/07/2023;9692,83
C001480;M000307;05/07/2023;9672,41
C001421;M000039;27/09/2023;1736,48
C000916;M000185;19/08/2024;5879,1
C000047;M000137;22/09/2024;8426,72
C001542;M000161;27/09/2023;6769,53
C000925;M000362;06/07/2024;7164,17
C000457;M000437;15/07/2024;233,86
C000919;M000442;14/09/2023;7509,33
C000801;M000212;08/08/2024;2480,88
C000898;M000155;22/08/2023;7984,14
C001942;M000011;01/08/2023;8149,71
C000365;M000381;22/07/2024;8472,48
C000125;M000298;22/07/2023;2996,91
C001483;M000354;14/07/2024;7472,21
C001725;M000388;07/07/2024;2998,02
C000874;M000288;03/07/2023;3280,78
C001190;M000497;18/08/2023;3047,44
C001271;M000281;05/07/2024;6408,14
C000965;M000471;16/08/2024;6175,33
C001336;M000466;25/08/2024;4353,45
C001334;M000130;12/07/2024;3163,92
C000354;M000031;11/08/2024;1137,9
C000084;M000249;06/08/2024;772,74
C001448;M000280;28/08/2024;664,57
C001934;M000148;20/08/2024;7901,84
C000180;M000225;30/08/2023;7279,15
C001185;M000146;10/09/2023;4797,12
C001360;M000113;04/08/2023;6925,78
C000853;M000385;08/09/2024;8314,25
C001780;M000235;22/09/2024;4118,48
C000510;M000081;07/08/2024;1964,46
C000396;M000439;25/08/2023;6908,0
C000074;M000085;11/07/2024;5244,64
C001759;M000007;31/08/2023;2351,49
C000705;M000084;15/09/2023;4336,29
C001455;M000126;16/07/2024;9199,52
C001601;M000286;04/08/2024;7713,76
C000927;M000326;05/07/2024;2915,6
C000212;M000368;05/09/2024;8146,07
C001065;M000232;28/07/2024;8296,95
C000257;M000238;14/09/2024;7239,36
C000579;M000463;31/07/2024;9292,8
C001846;M000008;10/09/2023;5781,81
C001710;M000360;30/09/2024;6082,4
C000052;M000266;26/07/2024;1823,59
C000144;M000421;12/08/2023;8658,37
C000792;M000460;07/07/2023;731,93
C001618;M000471;31/07/2023;3113,61
C001972;M000071;29/08/2023;1270,91
C001234;M000201;19/07/2024;603,52
C001625;M000025;14/08/2024;1030,78
C000510;M000347;14/09/2023;1816,23
C001989;M000416;13/07/2024;3261,87
C000249;M000104;21/08/2024;6141,91
C001718;M000236;19/08/2023;7139,17
C001184;M000074;03/09/2024;3724,26
C000870;M000397;19/07/2024;1899,84
C000984;M000075;11/08/2023;5200,42
C000449;M000417;22/08/2024;352,67
C000511;M000320;26/07/2023;9273,55
C000966;M000307;13/09/2023;5286,35
C001828;M000353;30/08/2024;7024,56
C001652;M000168;29/07/2023;5898,76
C001384;M000084;21/08/2023;2290,86
C001138;M000352;27/08/2024;2435,28
C000111;M000305;19/09/2023;4523,17
C000011;M000142;13/07/2023;9992,43
C000214;M000128;07/07/2023;6945,28
C001968;M000418;19/08/2024;6947,75
C000554;M000429;26/09/2024;3979,1
C000866;M000320;13/07/2023;983,29
C000839;M000108;28/09/2024;5834,05
C001214;M000088;27/08/2023;3968,97
C000530;M000118;16/08/2023;5567,63
C000659;M000346;14/08/2024;4008,86
C001261;M000279;14/07/2023;8430,21
C001475;M000349;18/07/2024;8981,06
C000561;M000132;23/09/2023;1508,39
C000140;M000005;07/07/2024;7322,72
C001258;M000402;24/08/2023;9365,92
C000667;M000115;25/08/2023;1832,89
C000164;M000039;14/08/2023;8273,14
C000444;M000301;02/09/2024;4162,15
C000696;M000448;12/07/2024;8751,46
C000571;M000219;20/09/2023;3735,97
C000212;M000072;18/08/2024;1002,66
C001780;M000425;29/09/2024;8569,7
C000120;M000313;08/09/2023;1821,13
C001563;M000080;28/08/2023;3159,23
C001024;M000368;18/08/2023;7129,3
C000813;M000477;05/08/2024;5647,8
C001183;M000208;03/09/2023;6349,17
C000398;M000048;13/09/2023;756,98
C001115;M000425;21/08/2023;7391,37
C000138;M000029;24/08/2024;1104,3
C000601;M000465;07/09/2023;7771,19
C000198;M000068;30/07/2024;3574,54
C001078;M000437;01/07/2024;4594,13
C000442;M000429;05/09/2023;9871,09
C000008;M000205;16/08/2023;1104,43
C001148;M000475;01/07/2024;1850,49
C001460;M000405;30/07/2024;5801,87
C001967;M000020;01/07/2024;2246,01
C000308;M000437;07/07/2024;8113,7
C000596;M000372;16/07/2023;9637,85
C001733;M000049;19/08/2023;8303,29
C001077;M000259;08/07/2023;4632,32
C000258;M000254;04/09/2024;5902,62
C001800;M000005;22/09/2023;5650,62
C000580;M000456;27/09/2023;404,93
C001783;M000056;22/09/2023;9372,37
C001843;M000385;13/09/2023;9250,36
C000749;M000185;20/08/2024;688,83
C000398;M000219;01/09/2023;3687,28
C001337;M000019;15/09/2023;8477,22
C001884;M000407;11/07/2024;5392,05
C000306;M000026;02/08/2024;7851,19
C001457;M000443;23/08/2023;9372,16
C001034;M000301;26/08/2024;5686,08
C001210;M000328;18/09/2024;8839,68
C001971;M000404;04/09/2023;2419,46
C001825;M000129;24/08/2023;9840,53
C001665;M000342;27/09/2023;1275,37
C001989;M000231;25/07/2023;9566,26
C001048;M000452;17/09/2024;472,2
C000608;M000111;08/08/2024;7578,81
C000695;M000069;05/07/2023;4128,28
C000805;M000088;24/08/2024;3529,31
C001873;M000363;16/07/2023;1787,46
C000857;M000138;16/09/2024;2519,05
C000508;M000399;12/07/2024;2119,25
C000326;M000496;14/07/2023;7161,01
C000651;M000073;04/07/2023;568,6
C000372;M000485;07/08/2023;5477,29
C000085;M000068;22/09/2024;7480,01
C001235;M000255;11/08/2023;9843,4
C000622;M000425;31/08/2024;2157,46
C000139;M000483;20/09/2024;5896,54
C001816;M000236;01/08/2023;5537,46
C000774;M000151;03/08/2023;750,18
C001589;M000089;13/09/2024;2215,53
C001827;M000292;28/07/2024;2328,59
C000942;M000341;13/08/2023;9121,96
C000712;M000328;10/07/2023;3060,91
C000479;M000364;25/08/2023;6831,03
C000443;M000016;21/09/2024;1041,18
C000976;M000054;24/08/2023;3541,92
C000362;M000154;30/08/2023;2990,9
C001105;M000021;24/08/2024;6919,78
C001189;M000340;16/09/2024;6241,09
C001673;M000047;08/08/2024;6518,24
C001722;M000456;11/09/2024;4893,03
C000136;M000032;02/08/2024;4141,76
C001386;M000235;16/07/2023;6670,79
C000864;M000457;28/08/2023;1001,86
C000227;M000366;27/08/2024;9842,59
C001339;M000433;16/09/2023;9792,9
C001526;M000363;21/08/2023;8360,05
C001824;M000464;15/08/2023;9304,76
C001172;M000085;27/09/2024;4573,36
C001901;M000232;20/07/2024;199,71
C000494;M000275;08/07/2023;7262,71
C000382;M000297;06/09/2024;1185,61
C000459;M000401;12/08/2023;8228,21
C000598;M000037;03/09/2024;9180,67
C000107;M000178;22/07/2023;1304,18
C001210;M000228;30/09/2023;6365,14
C000513;M000271;06/09/2024;4588,92
C001453;M000092;03/07/2023;9168,01
C001752;M000067;08/08/2023;5507,6
C000628;M000299;28/07/2023;7822,8
C000327;M000404;18/08/2023;4076,63
C001504;M000389;18/08/2023;8855,79
C000392;M000064;28/08/2024;3477,45
C001499;M000346;01/08/2023;6919,91
C000016;M000196;05/08/2024;7492,35
C000319;M000186;16/08/2023;8768,23
C000127;M000195;08/09/2023;3148,43
C000267;M000005;04/07/2024;3764,94
C000634;M000483;14/08/2023;5676,78
C000154;M000138;08/08/2024;1605,58
C000231;M000333;31/08/2024;4725,58
C001001;M000048;11/07/2023;8653,55
C001999;M000381;20/09/2023;6897,11
C000657;M000081;18/09/2023;6531,13
C000083;M000095;27/08/2023;4192,25
C000766;M000282;01/07/2023;6663,58
C000658;M000129;19/08/2024;4558,38
C001178;M000236;27/07/2023;7636,16
C000800;M000004;09/09/2024;7744,25
C001361;M000471;07/07/2024;7964,82
C000781;M000326;24/08/2024;2316,94
C001534;M000309;14/08/2023;4393,78
C000103;M000494;27/07/2024;3407,65
C001010;M000362;28/08/2024;7353,38
C001551;M000160;21/08/2023;5363,06
C001653;M000485;28/07/2023;4098,74
C001382;M000294;08/09/2023;6141,53
C001283;M000114;10/08/2024;9308,64
C001814;M000100;18/07/2023;8760,13
C000010;M000027;28/08/2023;5157,76
C001087;M000141;30/08/2024;5393,89
C000579;M000143;22/09/2023;2703,61
C001980;M000172;30/08/2023;2389,45
C001095;M000183;29/07/2024;8689,03
C000111;M000232;16/07/2023;6247,5
C001140;M000394;10/09/2024;253,12
C001522;M000049;19/09/2023;4945,65
C000528;M000405;21/08/2024;7523,06
C001468;M000198;16/09/2024;6717,85
C000489;M000494;31/07/2024;3394,18
C000766;M000222;30/07/2023;3882,62
C001196;M000014;15/09/2023;4624,2
C000384;M000095;08/09/2023;5513,97
C000420;M000283;27/07/2023;3045,07
C001741;M000117;23/09/2024;7289,67
C000419;M000166;11/08/2023;9816,99
C000927;M000411;02/07/2024;6594,13
C000526;M000331;16/07/2023;3678,51
C000641;M000253;21/07/2024;642,78
C001637;M000030;25/07/2023;339,75
C000142;M000484;08/08/2023;4360,84
C001006;M000168;04/09/2024;3611,11
C000130;M000233;07/09/2023;4383,19
C001738;M000463;19/09/2023;1408,81
C001329;M000436;01/07/2024;3646,5
C000941;M000272;12/07/2024;6811,47
C000646;M000311;05/07/2023;3096,84
C000844;M000377;30/07/2023;7607,51
C000184;M000400;23/09/2024;6142,68
C001409;M000148;21/09/2023;3055,08
C000188;M000057;23/08/2023;6319,14
C001137;M000485;14/08/2024;306,93
C000569;M000064;27/09/2023;6315,47
C001825;M000038;24/09/2024;6524,99
C000446;M000153;12/08/2024;5802,6
C001865;M000394;13/08/2023;7460,4
C000323;M000013;08/09/2023;8771,41
C001360;M000069;20/08/2024;2006,75
C001751;M000218;29/08/2024;4370,43
