cliente;citta
C000027;Catania
C000098;Napoli
C000462;Palermo
C000322;Venezia
C000118;Venezia
C000587;Genova
C000865;Roma
C000043;Palermo
C000195;Venezia
C000921;Roma
C000706;Verona
C000296;Modena
C000935;Padova
C000804;Palermo
C000919;Parma
C000199;Venezia
C000373;Torino
C000434;Firenze
C000854;Firenze
C000239;Modena
C000385;Catania
C000933;Parma
C000255;Milano
C000367;Bologna
C000031;Padova
C000358;Bari
C000957;Genova
C000411;Padova
C000165;Roma
C000913;Napoli
C000313;Trieste
C000531;Bologna
C000066;Modena
C000147;Firenze
C000924;Venezia
C000879;Venezia
C000415;Milano
C000452;Brescia
C000728;Trieste
C000428;Brescia
C000831;Catania
C000155;Verona
C000617;Firenze
C000444;Parma
C000869;Milano
C000696;Bologna
C000608;Trieste
C000783;Padova
C000707;Brescia
C000677;Genova
C000985;Torino
C000955;Verona
C000192;Verona
C000282;Bari
C000749;Reggio Calabria
C000073;Genova
C000533;Modena
C000929;Reggio Calabria
C000630;Brescia
C000026;Roma
C000117;Torino
C000232;Padova
C000121;Bari
C000740;Torino
C000997;Trieste
C000644;Bari
C000211;Brescia
C000362;Verona
C000886;Trieste
C000646;Trieste
C000208;Milano
C000984;Roma
C000344;Genova
C000262;Reggio Calabria
C000803;Verona
C000967;Bologna
C000517;Catania
C000315;Torino
C000836;Parma
C000863;Palermo
C000039;Padova
C000963;Padova
C000391;Bari
C000861;Perugia
C000654;Parma
C000996;Modena
C000845;Reggio Calabria
C000203;Catania
C000982;Bologna
C000417;Catania
C000229;Parma
C000988;Reggio Calabria
C000441;Brescia
C000705;Firenze
C000442;Milano
C000363;Brescia
C000266;Trieste
C000293;Reggio Calabria
C000714;Torino
C000852;Brescia
C000787;Roma
C000833;Trieste
C000228;Palermo
C000774;Modena
C000473;Parma
C000270;Bari
C000174;Bologna
C000014;Firenze
C000810;Venezia
C000934;Taranto
C000538;Venezia
C000407;Taranto
C000851;Genova
C000172;Palermo
C000535;Bari
C000796;Roma
C000286;Bari
C000606;Parma
C000551;Roma
C000075;Firenze
C000016;Catania
C000759;Trieste
C000245;Bologna
C000867;Padova
C000478;Parma
C000968;Perugia
C000628;Bari
C000676;Catania
C000708;Catania
C000702;Trieste
C000592;Venezia
C000316;Parma
C000254;Torino
C000735;Brescia
C000910;Milano
C000518;Milano
C000637;Verona
C000124;Torino
C000737;Bari
C000941;Taranto
C000723;Genova
C000766;Verona
C000773;Taranto
C000337;Reggio Calabria
C000029;Perugia
C000672;Milano
C000133;Trieste
C000083;Perugia
C000826;Perugia
C000631;Firenze
C000364;Catania
C000457;Taranto
C000466;Genova
C000501;Modena
C000324;Perugia
C000356;Venezia
C000801;Catania
C000822;Brescia
C000114;Palermo
C000647;Parma
C000130;Bari
C000383;Verona
C000342;Trieste
C000191;Modena
C000752;Roma
C000348;Milano
C000860;Torino
C000110;Verona
C000815;Genova
C000568;Verona
C000530;Perugia
C000911;Firenze
C000514;Parma
C000179;Verona
C000461;Roma
C000080;Firenze
C000104;Napoli
C000475;Torino
C000003;Verona
C000596;Torino
C000557;Reggio Calabria
C000309;Perugia
C000487;Firenze
C000496;Roma
C000539;Roma
C000864;Brescia
C000745;Palermo
C000035;Padova
C000171;Catania
C000137;Modena
C000931;Firenze
C000960;Palermo
C000785;Brescia
C000812;Bari
C000158;Taranto
C000688;Reggio Calabria
C000859;Parma
C000178;Napoli
C000550;Trieste
C000922;Torino
C000340;Perugia
C000129;Venezia
C000507;Napoli
C000241;Reggio Calabria
C000463;Palermo
C000781;Modena
C000163;Roma
C000357;Torino
C000005;Brescia
C000799;Bologna
C000548;Modena
C000883;Palermo
C000716;Milano
C000212;Reggio Calabria
C000046;Palermo
C000051;Taranto
C000238;Parma
C000048;Perugia
C000056;Perugia
C000187;Perugia
C000571;Padova
C000395;Napoli
C000944;Reggio Calabria
C000651;Perugia
