cliente;prodotto;giorno;quantity;amount
C000291;M000021;07/01/2024;65;23307.85
C000169;M000622;19/10/2024;56;24904.14
C000261;M000483;01/07/2023;56;11991.64
C000689;M000172;09/05/2024;8;3392.12
C000229;M000953;05/09/2024;49;4732.05
C000633;M000327;22/06/2024;59;16826.57
C000636;M000293;21/01/2023;5;591.47
C000072;M000021;30/08/2024;100;19019.03
C000907;M000200;30/07/2023;74;5797.06
C000862;M000368;29/08/2024;35;1208.4
C000574;M000651;24/08/2023;67;25111.38
C000263;M000892;28/04/2023;12;103.12
C000224;M000157;11/03/2024;95;12570.7
C000847;M000389;09/08/2024;94;38563.72
C000741;M000402;07/01/2023;59;9236.29
C000029;M000142;21/02/2023;96;22120.48
C000526;M000784;23/04/2023;76;37998.0
C000528;M000947;08/08/2024;8;3375.4
C000109;M000249;09/02/2023;70;16333.79
C000154;M000630;16/04/2024;44;21564.51
C000026;M000078;10/08/2023;76;8204.25
C000846;M000651;10/02/2023;39;1045.89
C000317;M000060;17/05/2023;23;8035.7
C000304;M000900;16/01/2023;84;26154.02
C000869;M000531;17/08/2024;13;622.89
C000511;M000504;12/04/2023;27;8152.68
C000017;M000371;02/04/2023;41;18695.44
C000406;M000526;14/03/2024;34;4175.83
C000216;M000868;24/07/2024;34;11661.32
C000426;M000004;08/11/2023;91;27869.38
C000162;M000802;25/07/2024;66;29052.67
C000399;M000320;22/09/2024;47;19278.71
C000959;M000726;01/09/2024;44;7650.4
C000393;M000796;27/07/2023;8;3884.39
C000381;M000719;08/04/2024;26;5720.98
C000887;M000639;15/01/2023;26;6569.6
C000140;M000139;27/10/2023;8;147.75
C000501;M000492;29/02/2024;46;5793.45
C000721;M000222;01/07/2024;21;1959.24
C000453;M000428;14/09/2023;13;4735.07
C000237;M000806;18/05/2023;11;2395.95
C000741;M000546;18/05/2023;71;17106.84
C000542;M000588;18/08/2024;28;539.63
C000012;M000771;16/12/2023;84;21865.96
C000607;M000299;10/12/2023;100;998.75
C000831;M000518;21/08/2023;78;28189.53
C000172;M000363;23/06/2023;57;5786.83
C000647;M000458;30/10/2023;2;911.66
C000794;M000940;18/03/2024;53;25834.75
C000701;M000064;20/11/2024;14;1294.16
C000296;M000592;18/03/2023;74;7059.49
C000991;M000264;31/05/2024;24;5733.45
C000859;M000474;12/04/2023;61;9427.99
C000221;M000694;11/10/2024;75;24657.98
C000266;M000027;18/04/2023;25;3627.01
C000466;M000141;07/02/2024;17;1501.04
C000643;M001000;08/04/2023;27;6138.23
C000981;M000351;03/03/2023;1;266.7
C000434;M000274;29/07/2023;72;1777.02
C000841;M000398;23/06/2023;99;45597.96
C000304;M000021;10/09/2023;20;8738.67
C000266;M000369;23/12/2024;63;7838.18
C000873;M000222;21/02/2023;7;1470.57
C000080;M000454;29/07/2024;13;4818.05
C000365;M000123;06/09/2023;33;2848.13
C000325;M000929;21/02/2024;98;41557.6
C000980;M000503;24/04/2024;87;30689.17
C000570;M000875;08/08/2024;75;29891.22
C000831;M000374;18/04/2024;86;26268.32
C000706;M000665;25/09/2023;28;616.28
C000917;M000078;16/08/2024;77;24406.15
C000858;M000794;12/05/2024;23;9208.35
C000866;M000260;25/03/2024;75;5312.54
C000256;M000965;20/11/2023;43;10357.61
C000488;M000693;25/01/2023;94;24532.94
C000814;M000696;31/08/2023;55;13149.83
C000059;M000569;02/08/2024;50;23830.78
C000259;M000962;23/06/2023;41;5932.04
C000172;M000842;22/02/2023;50;10042.95
C000909;M000493;03/01/2024;1;188.47
C000773;M000382;29/11/2023;45;13944.69
C000665;M000046;24/10/2023;95;6548.63
C000696;M000035;16/11/2023;6;248.07
C000122;M000967;16/07/2024;88;26283.11
C000458;M000397;23/06/2024;86;36674.1
C000096;M000983;10/12/2024;98;42464.88
C000473;M000524;04/11/2023;19;1168.4
C000430;M000607;22/03/2024;23;4792.94
C000598;M000522;16/10/2023;18;8112.87
C000266;M000522;20/03/2023;83;8893.76
C000491;M000147;26/02/2024;15;3177.97
C000585;M000404;11/11/2023;38;18304.97
C000064;M000017;06/12/2023;29;12062.17
C000394;M000220;04/12/2023;60;19832.5
C000315;M000836;15/09/2023;36;10527.27
C000673;M000416;11/09/2024;94;42905.28
C000020;M000672;06/11/2024;100;40926.1
C000329;M000494;08/05/2024;49;16277.47
C000488;M000358;30/10/2024;97;24775.69
C000068;M000383;29/09/2024;91;16909.39
C000754;M000037;10/03/2024;39;4003.12
C000180;M000851;11/12/2023;73;14867.35
C000627;M000953;31/07/2023;86;41197.59
C000445;M000006;21/08/2024;9;4478.44
C000234;M000211;12/07/2023;85;3390.88
C000841;M000760;06/11/2023;2;756.49
C000672;M000019;24/05/2023;81;24955.74
C000256;M000276;03/09/2023;30;10435.52
C000869;M000519;01/06/2024;74;21121.43
C000430;M000475;20/05/2023;43;3200.03
C000558;M000514;03/01/2023;57;861.34
C000666;M000926;26/01/2023;11;3262.58
